id_cliente;nome;email;telefone;data_nascimento;endereco;data_cadastro
42a99af7-9d8f-4cc6-8c01-5f7c3562d7b5;Dra. Emanuella da Cruz;borgesoliver@example.org;+55 84 2507 1520;1961-11-18;Viaduto de Silva, 63, Zilah Sposito, 67167-479 Cardoso das Pedras / PI;2023-08-25
cf4dfd7c-c944-4003-9af7-3f53fce64fd9;Ravi Lucca Novaes;rhavinunes@example.org;+55 (081) 0132 8601;1945-06-01;Vereda Heloísa Novais, 7, Vila Madre Gertrudes 3ª Seção, 63466-245 Nogueira / CE;2024-09-30
21751c92-07ab-4df2-8e46-cd54a8b1d632;Valentim Martins;rodriguesdavi-miguel@example.net;+55 (061) 3920-9358;1959-06-19;Vila Breno Lopes, 55, Dom Bosco, 15460-659 Vieira de Cavalcanti / PB;2024-10-24
d1702ad6-fc55-47c1-974c-7b9f906b72a8;Laura Gomes;heloisacampos@example.org;+55 (031) 2052 6184;1952-07-12;Jardim Augusto Almeida, 3, Betânia, 21004058 Cirino do Galho / PR;2023-08-13
2a087304-7dcc-43d5-bc0b-69b3bd51c242;Sr. Isaque Gonçalves;emendonca@example.org;(041) 1943 0975;1962-06-05;Pátio Cavalcante, Vila Santa Rosa, 98497135 Santos / MS;2023-03-04
c5f69a65-94d5-4891-b103-1bde6d41696a;Dr. Theodoro Rocha;siqueiraalice@example.net;+55 (071) 1280 9555;1999-04-29;Loteamento de Souza, 81, Serrano, 29243281 Casa Grande / CE;2024-07-02
baaef2f1-c00d-4a00-85c4-52fe0223f226;Anna Liz Cardoso;brayandias@example.com;+55 21 7319 5310;1991-06-20;Favela de Vasconcelos, 2, Alípio De Melo, 93608112 Garcia do Amparo / AM;2025-01-22
6de94c3e-5b36-4f5f-8673-77a9a772887f;Sra. Lívia Vasconcelos;kpinto@example.com;11 9428-3860;1944-11-18;Vale de Melo, 6, João Pinheiro, 09487908 Martins / MA;2023-09-10
ca48f744-f95c-43cf-866e-fe50f8ace908;Léo Nascimento;manuellacarvalho@example.org;41 7568-0833;1984-07-27;Praça de Fernandes, 88, Solar Do Barreiro, 92093248 Macedo / DF;2023-10-01
4b1748ed-8e03-4b92-b7c0-4d2fc2a4e360;José Miguel Correia;dpastor@example.org;0500-315-0763;1952-10-10;Chácara da Rosa, 30, Paraíso, 99148193 Almeida / MG;2023-07-12
d6cce330-a2a1-4c29-ac1d-75f8665edf74;João Miguel Jesus;zsantos@example.com;(051) 7556-2877;1977-12-26;Rodovia de Marques, Caiçara - Adelaide, 39030-908 Pires do Galho / CE;2024-11-24
7073e019-a6bc-4789-a47c-d23342c1d401;Mariana da Mota;viniciussousa@example.net;+55 84 0383-2185;1997-04-24;Loteamento de Fernandes, Aguas Claras, 77228-777 Lopes / BA;2024-11-02
280adc32-f55e-4fd0-8601-1c13aa31f241;Joaquim Brito;dbrito@example.org;+55 21 5011 7916;1977-07-10;Alameda Pires, 795, Alta Tensão 2ª Seção, 63122-935 Silva / ES;2024-07-09
50d69e92-bbb1-4015-baff-44561482bc83;Vitor Hugo Guerra;pedro64@example.net;71 8862 5568;1966-10-18;Sítio Josué da Costa, 50, Bonfim, 19047039 Rocha / AC;2024-02-12
78683842-9a72-44cf-8059-c39b433cdca9;Nathan Rezende;caldeirajose@example.org;+55 11 3061-1943;1991-07-17;Distrito de Nascimento, 21, Vitoria Da Conquista, 41610-855 Porto do Galho / PB;2023-02-28
a62ce8c8-7503-42fe-b08b-f90ffa1d4c6b;Ian Novaes;garciabella@example.net;+55 (031) 7813 4233;1979-10-12;Vila de Moreira, 21, Vila Ecológica, 22291340 Caldeira / AC;2024-04-09
12a2f7d4-57bb-4bf5-9ea1-6af3263ec9ef;Cauã Vieira;allana34@example.net;(061) 6683 0980;1978-05-16;Largo Gonçalves, Marieta 3ª Seção, 59942589 Pastor / MA;2023-12-02
70a69902-c494-46ea-a6c7-b5f2f7f02f69;Brenda Cunha;oaraujo@example.com;0900 624 2027;1965-09-14;Praça das Neves, 67, Inconfidência, 23277314 Rios de Nascimento / MT;2023-07-02
364a363b-8c25-4a4c-b686-1fc9e6721c62;Yasmin Montenegro;dmartins@example.net;+55 (061) 8664 3148;1948-05-03;Área Alves, 40, Boa União 2ª Seção, 46187-911 Mendes / RS;2023-04-17
929374be-5fa9-4298-b3f2-71a4cd9c3fdf;Igor Castro;novaisantonio@example.com;21 5674-4074;2006-11-26;Esplanada Letícia Caldeira, 59, Vila Santo Antônio Barroquinha, 39750-128 Mendonça / RR;2024-01-05
5b39fecb-36b7-4def-9712-5d64673d67dc;Henrique Casa Grande;uvargas@example.net;(031) 1427 3010;1990-08-10;Recanto Vasconcelos, 7, Vila Rica, 15622-385 Souza / MT;2024-06-07
96a6b43e-c53b-4d12-a144-96f4d654aaf8;Bruna Sales;da-luzmaria-clara@example.com;+55 (084) 6464-9223;1996-04-09;Rodovia de Fogaça, 78, Vila Boa Vista, 34034820 Sousa / RO;2024-06-04
f5635cd5-2418-421e-b683-2fd89f73b3c8;Heitor da Cruz;ravi24@example.net;+55 84 0526-0147;1955-11-03;Travessa de Ribeiro, 39, Maria Helena, 43629140 Aragão / RS;2024-01-05
d0cc0edd-2597-4a51-8a7b-41a42329ad69;Gael Henrique Azevedo;dsilva@example.com;11 8953 4226;1994-08-23;Morro de Rodrigues, 707, Betânia, 62253289 da Conceição Alegre / ES;2024-10-27
40f5b6d0-0ed0-4dd9-8537-a824c3492b28;Sr. Oliver Gomes;beatriz89@example.net;+55 11 3070 5876;1998-10-02;Trecho Elisa Moreira, 16, Conjunto Floramar, 83960867 Cavalcanti / MG;2024-12-04
d1a8cb06-f354-4fde-a8bf-6bff3faa02e8;Emanuella da Mota;leonardo77@example.com;0500-497-7871;1965-12-22;Jardim Rios, 934, Jardim Montanhês, 40216367 Monteiro / DF;2024-12-30
9a47109f-c397-4cbd-8786-0b0dfa7423f9;Eloah Costa;stellada-paz@example.org;0500 913 3057;1959-10-21;Passarela Emanuelly Vasconcelos, 85, Guarani, 94806-178 Cassiano de Minas / MS;2024-05-12
4350039c-3f4e-4e7f-b9b3-19a5e1fe3e52;Sra. Rafaela Cavalcanti;ssantos@example.com;+55 81 5094-3570;2002-04-07;Conjunto Lima, 828, Santa Helena, 65852-397 Aragão / SP;2024-01-05
0f375a5d-1472-42a9-a4cc-1fb3710c2d67;Oliver Camargo;albuquerquemarina@example.com;+55 (061) 5915-4325;1970-02-03;Estação Ian Gonçalves, 39, Colégio Batista, 00163200 Pastor de Albuquerque / PI;2024-10-22
44a8728b-5cae-424d-9148-ee022b252480;Davi Lucas Costa;vargasmanuella@example.org;(021) 3527 7706;1982-03-13;Passarela Dias, 8, Havaí, 32254-978 Peixoto de Jesus / RJ;2023-03-01
fd6f0dbe-b412-4fbd-87d9-b0b5aae5dd34;Vitor Gabriel Silva;domaraujo@example.org;31 4135-5050;1970-08-23;Trevo de Ramos, 832, Alta Tensão 1ª Seção, 64579115 Fernandes / RO;2023-08-06
d25e05a7-89a2-483b-8bc4-ec65f99a112f;Maria Luiza Cunha;lizcostela@example.com;+55 11 7446-4579;1972-10-24;Alameda Macedo, 79, Santa Sofia, 62722-641 Santos do Sul / AM;2024-05-15
c88ed85c-2329-4f0e-94f4-3d83012ff616;Caio da Conceição;garagao@example.net;71 3034-7902;1948-07-07;Viaduto Luara Jesus, 95, Corumbiara, 98486-210 da Mota do Sul / MG;2025-01-13
